Date,Month,City,Venue,Event,Type,Tickets,State,Country
07/15/25,July,Rio Rancho,Rio Rancho Events Center,"311, Badflower, and Sitting on Saturn",Live Show,https://www.ticketmaster.com/311-unity-tour-2025-rio-rancho-new-mexico-07-15-2025/event/1E00626DF24B38C6,NM,USA
07/16/25,July,Santa Fe,The Bridge at Santa Fe Brewing Company,Iration w/ Mouse Powell,Live Show,https://santafebrewing.com/event/iration-with-bikini-trill-mouse-powell/,NM,USA
07/18/25,July,Albuquerque,Sandia Amphitheater,Dirty Heads,Live Show,https://www.jambase.com/show/dirty-heads-sandia-amphitheater-20250718,NM,USA
07/18/25,July,Albuquerque,Old Town Plaza,Joseph General & High Vibration,Free Outdoor Show,,NM,USA
07/27/25,July,Las Vegas,El Rialto Restaurant,Aaron Wolf - My People Tour,Live Show,https://www.eventbrite.com/e/aaron-wolf-my-people-tour-las-vegas-new-mexico-tickets-1313241583929,NM,USA
08/03/25,August,Albuquerque,Revel,Maoli,Live Show,https://seatgeek.com/maoli-tickets/albuquerque-new-mexico-revel-entertainment-center-2025-08-03-8-pm/concert/17277941,NM,USA
08/10/25,August,Las Vegas,El Rialto Restaurant,The Goodies,Live Show,https://www.bandsintown.com/e/106969761,NM,USA
08/14/25,August,Albuquerque,Sunshine Theater,Collie Buddz,Live Show,https://www.sunshinetheaterlive.com/show/444395,NM,USA
08/20/25,August,Albuquerque,Revel,Michael Franti & Spearhead with Allen Stone,Live Show,https://seatgeek.com/michael-franti-spearhead-tickets/albuquerque-new-mexico-revel-entertainment-center-2025-08-20-8-pm/concert/17452727,NM,USA
09/09/25,September,Santa Fe,The Bridge at Santa Fe Brewing Company,Tribal Seeds,Live Show,https://www.jambase.com/show/tribal-seeds-the-bridge-at-santa-fe-brewing-company-20250909,NM,USA
09/17/25,September,Santa Fe,The Bridge at Santa Fe Brewing Company,Fortunate Youth,Live Show,https://santafebrewing.com/event/fortunate-youth-w-bumpin-uglies/,NM,USA
10/02/25,October,Albuquerque,Lobo Theater,Nahko and Medicine for the People,Live Show,https://www.jambase.com/show/nahko-and-medicine-for-the-people-lobo-theater-20251002,NM,USA
